,index,population,supermarket
333,080310003022010,53.0,1365.7
334,080310003022011,37.0,1283.4
335,080310003022012,26.0,1614.9
336,080310003023000,40.0,1030.2
337,080310003023001,49.0,968.9
338,080310003023002,33.0,970.8
339,080310003023003,47.0,1158.4
340,080310003023004,58.0,1111.9
341,080310003023005,25.0,1312.6
342,080310003023006,44.0,1359.0
343,080310003023007,45.0,1170.3
344,080310003023008,55.0,1070.0
345,080310003023009,63.0,1077.0
346,080310003023010,64.0,1128.8
347,080310003023011,56.0,1230.1
348,080310003023012,55.0,1178.9
349,080310003023013,58.0,1276.6
350,080310003023014,52.0,1328.6
351,080310003023015,46.0,1270.1
352,080310003024000,32.0,730.1
353,080310003024001,60.0,669.0
354,080310003024002,60.0,643.8
355,080310003024003,56.0,657.0
356,080310003024004,27.0,819.0
357,080310003024005,12.0,739.8
358,080310003024006,10.0,840.2
359,080310003024007,38.0,919.4
360,080310003024009,61.0,744.8
361,080310003024010,36.0,768.3
362,080310003024011,26.0,759.0
363,080310003024012,18.0,890.9
364,080310003024013,46.0,868.6
365,080310003024014,65.0,845.4
366,080310003024015,38.0,857.7
367,080310003024016,42.0,1021.9
368,080310003024017,16.0,941.3
369,080310003025000,81.0,256.3
370,080310003025001,15.0,225.4
371,080310003025003,68.0,86.1
372,080310003025004,125.0,434.4
373,080310003025005,31.0,406.5
374,080310003025006,7.0,438.0
375,080310003025007,32.0,308.5
376,080310003025008,35.0,378.5
377,080310003025009,30.0,376.3
378,080310003025010,43.0,306.3
379,080310003025011,92.0,288.2
380,080310003025012,147.0,282.6
381,080310003025013,29.0,353.7
382,080310003025014,49.0,464.1
383,080310003025015,21.0,485.8
384,080310003025016,27.0,587.4
385,080310003025017,37.0,565.9
386,080310003025018,45.0,543.3
387,080310003025019,46.0,442.4
388,080310003025020,36.0,454.7
389,080310003025021,52.0,619.2
390,080310003025022,35.0,516.5
391,080310003025023,5.0,538.8
392,080310003025024,10.0,620.4
393,080310003025025,55.0,719.4
394,080310003025026,60.0,555.0
395,080310003031000,77.0,609.6
396,080310003031001,85.0,820.8
397,080310003031002,52.0,910.7
398,080310003031003,130.0,711.6
399,080310003031004,55.0,811.0
400,080310003031005,53.0,1010.9
401,080310003031006,62.0,1111.6
402,080310003031007,61.0,912.5
403,080310003031008,66.0,1008.6
404,080310003031009,72.0,1198.0
405,080310003032000,73.0,933.5
406,080310003032001,4.0,1052.4
407,080310003032002,192.0,1063.3
408,080310003032003,70.0,1033.2
409,080310003032004,12.0,1047.2
410,080310003032005,35.0,934.8
