,geoid10,population,supermarket
416,170310107024005,154.0,874.7
417,170310201001000,146.0,1436.9
418,170310201001001,117.0,1490.6
419,170310201001002,168.0,1546.2
420,170310201001003,136.0,1601.7
421,170310201001004,103.0,1624.3
422,170310201001005,69.0,1534.9
423,170310201001006,13.0,1480.5
424,170310201001007,24.0,1378.6
425,170310201001008,112.0,1365.3
426,170310201001009,69.0,1310.6
427,170310201001010,55.0,1311.1
428,170310201001011,86.0,1400.9
429,170310201001012,140.0,1400.3
430,170310201001013,54.0,1456.2
431,170310201001014,97.0,1511.4
432,170310201001015,86.0,1567.6
433,170310201001016,94.0,1623.1
434,170310201001017,80.0,1680.2
435,170310201001018,185.0,1613.3
436,170310201001019,39.0,1501.9
437,170310201001020,87.0,1390.4
438,170310201001021,49.0,1284.2
439,170310201001022,87.0,1348.9
440,170310201001023,126.0,1253.8
441,170310201001024,12.0,1221.8
442,170310201001025,179.0,1315.2
443,170310201002000,,980.2
444,170310201002001,1115.0,1008.0
445,170310201002002,,1163.1
446,170310201002003,12.0,1279.6
447,170310201002004,11.0,1384.4
448,170310201002005,,1517.6
449,170310201002006,143.0,1400.4
450,170310201002007,137.0,1349.0
451,170310201002008,134.0,1298.7
452,170310202001000,,1285.4
453,170310202001001,52.0,1163.6
454,170310202001002,51.0,994.7
455,170310202001003,50.0,822.6
456,170310202001004,57.0,1045.0
457,170310202001005,46.0,1213.8
458,170310202001006,46.0,1264.2
459,170310202001007,40.0,1095.2
460,170310202001008,43.0,922.6
461,170310202001009,64.0,872.1
462,170310202001010,270.0,963.5
463,170310202001011,45.0,842.2
464,170310202001012,527.0,1165.1
465,170310202001013,31.0,1313.5
466,170310202001014,17.0,1386.4
467,170310202001015,30.0,1428.5
468,170310202001016,15.0,1352.9
469,170310202001017,54.0,973.0
470,170310202001018,73.0,1145.6
471,170310202001019,46.0,893.0
472,170310202001020,43.0,943.0
473,170310202001021,78.0,822.8
474,170310202002000,51.0,1690.9
475,170310202002001,108.0,1759.7
476,170310202002002,85.0,1670.0
477,170310202002003,16.0,1573.1
478,170310202002004,16.0,1524.8
479,170310202002005,28.0,1477.3
480,170310202002006,18.0,1428.7
481,170310202002007,525.0,1974.6
482,170310202002008,46.0,1772.0
483,170310202002009,104.0,1894.9
484,170310202002010,90.0,1626.2
485,170310202002011,47.0,1721.8
486,170310202002012,33.0,1711.1
487,170310202002013,160.0,1729.7
488,170310202002014,66.0,1576.5
489,170310202003000,55.0,786.0
490,170310202003001,61.0,590.7
491,170310202003002,66.0,418.8
492,170310202003003,53.0,350.8
493,170310202003004,52.0,400.8
494,170310202003005,66.0,469.3
495,170310202003006,50.0,641.1
496,170310202003007,74.0,836.2
497,170310202003008,54.0,691.6
498,170310202003009,53.0,519.8
499,170310202003010,25.0,474.7
500,170310202003011,26.0,368.2
501,170310202003012,33.0,984.2
502,170310202003013,55.0,861.4
503,170310202003014,40.0,911.0
504,170310202003015,41.0,741.4
505,170310202003016,64.0,569.0
506,170310202003017,30.0,524.5
507,170310202003018,35.0,575.3
508,170310202003019,43.0,619.9
509,170310202003020,45.0,792.3
510,170310202003021,31.0,962.2
511,170310202003022,23.0,1084.6
512,170310202003023,52.0,843.5
513,170310202003024,76.0,671.0
514,170310202003025,27.0,627.0
515,170310202003026,29.0,546.4
516,170310202003027,17.0,495.9
517,170310202003028,31.0,1012.3
518,170310202003029,25.0,1062.3
519,170310202003030,43.0,891.9
520,170310202003031,61.0,720.9
521,170310202003032,45.0,677.0
522,170310202003033,8.0,597.5
523,170310202003034,15.0,648.2
524,170310202003035,34.0,728.2
525,170310202003036,45.0,771.8
526,170310202003037,47.0,944.3
527,170310202003038,29.0,1112.7
528,170310202003039,19.0,1258.9
529,170310202004000,109.0,1553.0
530,170310202004001,246.0,1437.4
531,170310202004002,72.0,1389.5
532,170310202004003,80.0,1339.1
533,170310202004004,22.0,1374.2
534,170310202004005,13.0,1298.5
535,170310202004006,52.0,1176.5
536,170310202004007,,981.0
537,170310202004008,41.0,1031.9
538,170310202004009,34.0,1200.9
539,170310202004010,47.0,1251.7
540,170310202004011,31.0,1107.8
541,170310202004012,32.0,1034.5
542,170310202004013,30.0,1156.7
543,170310202004014,21.0,1301.4
544,170310202004015,39.0,1474.0
545,170310202004016,32.0,1522.1
546,170310202004017,145.0,1545.9
547,170310202004018,23.0,1619.7
548,170310202004019,23.0,1669.3
549,170310202004020,17.0,1667.6
550,170310202004021,82.0,1710.7
551,170310202004022,90.0,1712.8
552,170310202004023,,1662.4
553,170310202004024,16.0,1379.1
554,170310202004025,16.0,1327.6
555,170310202004026,17.0,1279.8
556,170310202004027,25.0,1187.3
557,170310202004028,27.0,1133.4
558,170310202004029,24.0,1231.7
559,170310202004030,28.0,1283.0
560,170310202004031,23.0,1231.3
561,170310202004032,18.0,1332.1
562,170310202004033,52.0,1405.6
563,170310202004034,18.0,1380.2
564,170310202004035,20.0,1331.9
565,170310202004036,28.0,1426.8
566,170310202004037,28.0,1433.2
567,170310202004038,28.0,1502.8
568,170310202004039,31.0,1456.0
569,170310202004040,30.0,1479.6
570,170310202004041,42.0,1556.4
571,170310202004042,38.0,1556.7
572,170310202004043,22.0,1521.3
573,170310202004044,53.0,1430.2
574,170310202004045,36.0,1504.7
575,170310202004046,26.0,1380.6
576,170310203011000,,1171.4
577,170310203011001,125.0,801.7
578,170310203011002,319.0,655.2
579,170310203011003,360.0,939.3
580,170310203011004,,942.8
581,170310203011005,,888.3
582,170310203011006,405.0,814.8
583,170310203011007,,1465.4
584,170310203011008,349.0,1068.8
585,170310203012000,259.0,1525.6
586,170310203012001,356.0,1074.2
587,170310203012002,121.0,1126.5
588,170310203012003,91.0,1117.6
589,170310203012004,34.0,1157.3
590,170310203012005,51.0,681.7
591,170310203012006,55.0,660.6
592,170310203012007,56.0,606.9
593,170310203012008,71.0,508.5
594,170310203012009,65.0,456.0
595,170310203012010,90.0,454.5
596,170310203012011,101.0,407.7
597,170310203013000,6.0,1262.3
598,170310203013001,,1133.9
599,170310203013002,2.0,995.1
600,170310203013003,70.0,1089.0
601,170310203013004,55.0,1284.6
602,170310203013005,63.0,1333.5
603,170310203013006,75.0,1138.9
604,170310203013007,49.0,1188.4
605,170310203013008,58.0,1384.5
606,170310203013009,49.0,1434.0
607,170310203013010,62.0,1238.6
608,170310203013011,62.0,1288.7
609,170310203013012,55.0,1483.8
610,170310203013013,53.0,1534.6
611,170310203013014,56.0,1338.5
612,170310203013015,55.0,1389.6
613,170310203013016,109.0,1579.9
614,170310203013017,124.0,1529.9
615,170310203013018,46.0,1439.0
616,170310203013019,81.0,1489.9
617,170310203013020,62.0,1479.1
618,170310203013021,63.0,1429.2
619,170310203013022,51.0,1539.7
620,170310203013023,40.0,1558.3
621,170310203013024,58.0,1379.6
622,170310203013025,245.0,1265.8
623,170310203013026,127.0,1459.6
624,170310203013027,66.0,1358.8
625,170310203021000,104.0,1626.5
626,170310203021001,20.0,1440.9
627,170310203021002,73.0,1480.1
628,170310203021003,169.0,1635.9
629,170310203021004,171.0,1586.4
630,170310203021005,39.0,1530.2
631,170310203021006,77.0,1580.8
632,170310203021007,93.0,1535.6
633,170310203021008,116.0,1532.3
634,170310203021009,96.0,1510.1
635,170310203021010,88.0,1386.7
636,170310203021011,156.0,1460.2
637,170310203021012,132.0,1482.2
638,170310203022000,91.0,1286.2
639,170310203022001,95.0,1410.2
640,170310203022002,92.0,1432.5
641,170310203022003,78.0,1382.4
642,170310203022004,111.0,1359.9
643,170310203022005,58.0,1285.2
644,170310203022006,64.0,1332.3
645,170310203022007,51.0,1281.6
646,170310203022008,38.0,1235.0
647,170310203022009,52.0,1232.9
648,170310203022010,36.0,1181.7
649,170310203022011,49.0,1132.3
650,170310203022012,41.0,1082.0
651,170310203022013,42.0,1033.3
652,170310203022014,98.0,980.4
653,170310203023000,370.0,1831.2
654,170310203023001,,1684.0
655,170310203023002,60.0,1612.3
656,170310203023003,73.0,1840.3
657,170310203023004,348.0,1576.4
658,170310203023005,131.0,1543.2
659,170310203023006,146.0,1702.3
660,170310203023007,,1701.3
661,170310203023008,21.0,1603.7
662,170310203023009,68.0,1632.4
663,170310203023010,12.0,1459.9
664,170310203023011,62.0,1287.8
665,170310203023012,132.0,1462.0
666,170310203023013,,1520.3
667,170310203023014,46.0,1237.6
668,170310203023015,37.0,1411.9
669,170310203023016,26.0,1363.3
670,170310203023017,94.0,1188.5
671,170310203023018,45.0,1186.1
672,170310203023019,41.0,1134.8
673,170310203023020,39.0,1137.5
674,170310203023021,30.0,1312.8
675,170310203023022,11.0,1517.2
676,170310203023023,,1362.6
677,170310203023024,33.0,1263.6
678,170310203023025,39.0,1088.1
679,170310203023026,31.0,1085.3
680,170310203023027,49.0,1034.8
681,170310203023028,43.0,1037.3
682,170310203023029,43.0,1213.4
683,170310203023030,33.0,1164.7
684,170310203023031,55.0,988.3
685,170310203023032,37.0,985.7
686,170310203023033,81.0,987.5
687,170310203023034,65.0,987.6
688,170310203023035,19.0,1164.1
689,170310203023036,,1263.3
690,170310204001000,13.0,1201.1
691,170310204001001,85.0,1300.3
692,170310204001002,150.0,1480.9
693,170310204001003,132.0,1695.3
694,170310204001004,67.0,1122.9
695,170310204001005,31.0,1347.3
696,170310204001006,61.0,1303.8
697,170310204001007,40.0,1494.8
698,170310204001008,43.0,1644.2
699,170310204001009,34.0,1604.9
700,170310204001010,42.0,1457.1
701,170310204001011,40.0,1393.7
702,170310204001012,37.0,1644.4
703,170310204001013,6.0,1107.1
704,170310204002000,103.0,1115.7
705,170310204002001,10.0,1047.5
706,170310204002002,28.0,1173.7
707,170310204002003,28.0,1345.0
708,170310204002004,66.0,1516.6
709,170310204002005,55.0,1465.0
710,170310204002006,37.0,1293.8
711,170310204002007,29.0,1122.4
712,170310204002008,45.0,987.5
713,170310204002009,33.0,936.2
714,170310204002010,105.0,1081.0
715,170310204002011,54.0,1252.0
716,170310204002012,74.0,1420.9
717,170310204002013,51.0,1398.0
718,170310204002014,89.0,1207.7
719,170310204002015,39.0,1080.6
720,170310204002016,41.0,994.9
721,170310204002017,16.0,884.0
722,170310204002018,196.0,787.7
