,geoid10,population,supermarket
314,245100203002021,120.0,676.2
315,245100203002022,46.0,704.9
316,245100203002023,35.0,776.4
317,245100203002024,70.0,884.7
318,245100203002025,7.0,960.1
319,245100203002026,,556.3
320,245100203002027,,494.8
321,245100203002028,,334.6
322,245100203002029,,432.5
323,245100203002030,,807.2
324,245100203002031,,691.3
325,245100203002032,,734.2
326,245100203002033,,845.8
327,245100203003000,16.0,234.8
328,245100203003001,46.0,384.0
329,245100203003002,77.0,482.1
330,245100203003003,23.0,499.6
331,245100203003004,39.0,655.4
332,245100203003005,,684.8
333,245100203003006,2.0,784.7
334,245100203003007,37.0,690.0
335,245100203003008,56.0,515.4
336,245100203003009,164.0,541.4
337,245100203003010,,863.6
338,245100203003011,334.0,726.6
339,245100203003012,332.0,669.2
340,245100203003013,,722.5
341,245100203003014,37.0,701.5
342,245100301001000,73.0,611.7
343,245100301001001,,771.1
344,245100301001002,,818.5
345,245100301001003,15.0,701.6
346,245100301001004,195.0,620.0
347,245100301001005,98.0,833.0
348,245100301001006,130.0,891.0
349,245100301001007,95.0,687.2
350,245100301001008,197.0,617.0
351,245100301001009,27.0,598.6
352,245100301001010,232.0,561.2
353,245100301001011,134.0,489.5
354,245100301001012,42.0,488.5
355,245100301001013,54.0,422.7
356,245100301001014,2.0,468.5
357,245100301001015,116.0,490.8
358,245100301001016,166.0,515.4
359,245100301001017,54.0,642.5
360,245100301001018,140.0,558.9
361,245100301001019,63.0,490.2
362,245100301001020,28.0,404.3
363,245100301001021,24.0,612.8
364,245100301001022,,655.4
365,245100301001023,23.0,364.9
366,245100301001024,,498.1
367,245100301001025,18.0,499.0
368,245100301001026,198.0,559.2
369,245100301001027,50.0,587.4
370,245100301001028,,483.5
371,245100301001029,20.0,329.6
372,245100301001030,,290.5
373,245100301002000,43.0,1041.2
374,245100301002001,123.0,992.7
375,245100301002002,64.0,1094.5
376,245100301002003,2.0,1145.3
377,245100301002004,7.0,1131.4
378,245100301002005,52.0,1127.5
379,245100301002006,,1057.9
380,245100301002007,,1039.9
381,245100301002008,,986.1
382,245100301002009,8.0,1048.5
383,245100301002010,2.0,1111.3
384,245100301002011,30.0,1013.0
385,245100301002012,59.0,946.3
386,245100301002013,4.0,849.0
387,245100301002014,,897.5
388,245100301002015,202.0,956.2
389,245100301002016,45.0,1027.8
390,245100301002017,41.0,1023.0
391,245100301002018,,980.1
392,245100301002019,18.0,1027.5
393,245100301002020,,903.3
394,245100301002021,,864.4
395,245100301002022,45.0,756.3
396,245100301002023,25.0,807.9
397,245100301002024,66.0,681.0
398,245100301002025,,897.3
399,245100301002026,1.0,984.4
400,245100301002027,,830.6
401,245100301002028,34.0,854.3
402,245100301002029,,943.9
403,245100302001000,220.0,1056.6
404,245100302001001,8.0,1026.7
405,245100302001002,,833.3
406,245100302001003,,833.9
407,245100302001004,,875.7
408,245100302001005,14.0,900.4
409,245100302001006,,974.5
410,245100302001007,,973.9
411,245100302001008,,1001.7
412,245100302001009,,884.9
413,245100302001010,5.0,879.5
414,245100302001011,2.0,847.0
415,245100302001012,29.0,807.3
416,245100302001013,10.0,831.3
417,245100302001014,25.0,914.6
418,245100302001015,,869.4
419,245100302001016,26.0,717.1
420,245100302001017,60.0,702.2
421,245100302001018,25.0,786.0
422,245100302001019,32.0,732.4
423,245100302001020,51.0,698.3
424,245100302001021,14.0,805.3
425,245100302001022,,801.8
426,245100302001023,,804.7
427,245100302001024,,897.3
428,245100302001025,,895.8
429,245100302001026,,1003.4
430,245100302001027,26.0,692.9
431,245100302001028,107.0,690.0
432,245100302001029,102.0,577.1
433,245100302001030,71.0,691.5
434,245100302001031,212.0,491.5
435,245100302001032,5.0,489.3
436,245100302001033,8.0,680.8
437,245100302001034,,586.0
438,245100302001035,,670.6
439,245100302001036,6.0,635.8
440,245100302001037,64.0,595.8
441,245100302001038,,554.3
442,245100302001039,,590.9
443,245100302001040,6.0,485.9
444,245100302001041,25.0,450.5
445,245100302001042,45.0,446.5
446,245100302001043,24.0,449.9
447,245100302001044,,706.1
448,245100302001045,,758.0
449,245100302001046,,638.0
450,245100302001047,,667.2
451,245100302002000,15.0,531.9
452,245100302002001,69.0,391.0
453,245100302002002,83.0,426.9
454,245100302002003,22.0,374.3
455,245100302002004,17.0,398.9
456,245100302002005,,434.4
457,245100302002006,,510.9
458,245100302002007,188.0,494.5
459,245100302002008,,557.3
460,245100302002009,,595.4
461,245100302002010,,630.7
462,245100302002011,,360.3
463,245100302002012,,329.5
464,245100302002013,1.0,272.7
465,245100302002014,,286.5
466,245100302002015,,285.7
467,245100302002016,,332.0
468,245100302002017,69.0,142.7
469,245100302002018,249.0,255.3
470,245100302002019,,323.5
471,245100302002020,,274.2
472,245100302002021,,500.9
473,245100302002022,,361.0
474,245100302002023,7.0,342.8
475,245100302002024,24.0,296.3
476,245100302002025,66.0,350.5
477,245100302002026,83.0,363.7
478,245100302002027,,298.3
479,245100302002028,18.0,224.0
480,245100302002029,14.0,198.6
481,245100302002030,35.0,182.5
482,245100302002031,9.0,200.1
483,245100302002032,2.0,224.6
484,245100302002033,,139.3
485,245100302002034,,68.6
486,245100302002035,,205.0
487,245100302002036,6.0,98.5
488,245100302002037,,190.2
489,245100302002038,128.0,155.8
490,245100302002039,,35.9
491,245100302002040,7.0,248.3
492,245100302002041,,230.4
